SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000264,Kai Lung’s Golden Hours,Ernest Bramah,1922,English,Fantasy,"82,602",5 hours 1 minute,54.46,Fairly difficult,,,No,Chinese Fishing,1750,François Boucher,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 2, 2019, 4:20 p.m.",Download
0000265,Songs of a Sourdough,Robert W. Service,1907,English,Poetry,"13,083",48 minutes,77.1,Fairly easy,,,No,Snow II,1915,Lawren Harris,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 2, 2019, 4:31 p.m.",Download
0000266,The Lerouge Case,Émile Gaboriau,1866,French,"Fiction, Mystery","124,563",7 hours 33 minutes,73.88,Fairly easy,Vizetelly and Company,,Yes,"Stefanina Primicile Carafa, Marchioness of Cicerale and Duchess of Montejasi",1875,Edgar Degas,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 8, 2019, 10:22 p.m.",Download
0000267,The Mystery of Orcival,Émile Gaboriau,1867,French,"Fiction, Mystery","105,280",6 hours 23 minutes,73.47,Fairly easy,Holt & Williams,,Yes,Village by a River,1867,Eugène Boudin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 12, 2019, 8:20 p.m.",Download
0000268,Bulfinch’s Mythology,Thomas Bulfinch,1867,English,Nonfiction,"329,021",19 hours 57 minutes,66.47,Average difficulty,,,No,The Lament for Icarus,1898,Herbert James Draper,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 12, 2019, 9:12 p.m.",Download
0000269,The Problems of Philosophy,Bertrand Russell,1912,English,"Nonfiction, Philosophy","42,807",2 hours 36 minutes,51.92,Fairly difficult,,,No,Still Life with Cheese,1615,Floris Claesz. van Dijck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 16, 2019, 4:44 p.m.",Download
0000270,The Prophet,Khalil Gibran,1923,English,Shorts,"12,359",45 minutes,77.57,Fairly easy,,,No,The Arab Sage,1800-99,An unknown German painter,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 17, 2019, 4:30 p.m.",Download
0000271,Short Fiction,Mack Reynolds,1950-63,English,"Science Fiction, Shorts","295,366",17 hours 55 minutes,76.22,Fairly easy,,,No,Artillery,1911,Roger de la Fresnaye,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 17, 2019, 10:27 p.m.",Download
0000272,File No. 113,Émile Gaboriau,1867,French,"Fiction, Mystery","146,391",8 hours 53 minutes,72.66,Fairly easy,James R. Osgood & Co.,,Yes,"The Place du Havre, Paris",1893,Camille Pissarro,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 17, 2019, 11:19 p.m.",Download
0000273,Passages from the Life of a Philosopher,Charles Babbage,1864,English,Autobiography,"141,335",8 hours 34 minutes,56.49,Fairly difficult,,,No,"Charles Babbage, F.R.S.",1845,Samuel Laurence,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 20, 2019, 9:10 p.m.",Download
0000274,Monsieur Lecoq,Émile Gaboriau,1868,French,"Fiction, Mystery","252,053",15 hours 17 minutes,72.56,Fairly easy,Laura E. Kendall,,Yes,"Côte des Grouttes, Near Pointoise",1878,Camille Pissarro,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 23, 2019, 6:43 p.m.",Download
0000275,A Bid for Fortune,Guy Boothby,1895,English,"Fiction, Mystery","89,556",5 hours 26 minutes,80.11,Easy,,,No,Sydney Harbour,1907,Arthur Streeton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 23, 2019, 11:35 p.m.",Download
0000276,The Slaves of Paris,Émile Gaboriau,1868,French,"Fiction, Mystery","205,327",12 hours 27 minutes,70.33,Fairly easy,Charles Scribner’s Sons,,Yes,The Boulevard Montmartre on a Winter Morning,1897,Camille Pissarro,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 7, 2019, 10:42 p.m.",Download
0000277,The Secret Tomb,Maurice Leblanc,1923,French,Fiction,"72,832",4 hours 25 minutes,75,Fairly easy,Alexander Teixeira de Mattos,,No,Fontainebleau: Oak Trees at Bas-Bréau,1832,Jean-Baptiste-Camille Corot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 8, 2019, 11:13 p.m.",Download
0000278,The Duel,Aleksandr Kuprin,1905,Russian,Fiction,"93,267",5 hours 40 minutes,62.48,Average difficulty,George Allen & Unwin,,No,Portrait of Jelizaveta Zvantseva,1889,Ilya Repin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 12, 2019, 11:22 p.m.",Download
0000279,The Merry Wives of Windsor,William Shakespeare,1602,English,Drama,"25,082",1 hour 32 minutes,84.57,Easy,,,No,Anne Page Inviting Slender to Dinner,1836,Thomas Duncan,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 13, 2019, 4:56 p.m.",Download
0000280,A Tale of Two Cities,Charles Dickens,1859,English,Fiction,"137,381",8 hours 20 minutes,69.82,Fairly easy,,,No,Camille Desmoulins au Palais-Royal,1888,Félix-Joseph Barrias,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 14, 2019, 6:12 p.m.",Download
0000281,Les Misérables,Victor Hugo,1862,French,Fiction,"562,298",34 hours 5 minutes,71.44,Fairly easy,Isabel F. Hapgood,,No,The Defense of Paris,1871,Jean-Louis Ernest Meissonier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 15, 2019, 09:23 p.m.",Download
0000282,Henry V,William Shakespeare,1620,English,Drama,"27,768",1 hour 41 minutes,77.16,Fairly easy,,,Yes,Morning of the Battle of Agincourt,1884,John Gilbert,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 16, 2019, 11:11 p.m.",Download
0000283,The Charing Cross Mystery,J. S. Fletcher,1923,English,"Fiction, Mystery","75,496",4 hours 35 minutes,74.79,Fairly easy,,,No,Grand Central Station,1909,Colin Campbell Cooper,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 18, 2019, 10:19 p.m.",Download
0000284,The Diary,Samuel Pepys,1659-69,English,"Autobiography, Nonfiction","1,208,859",73 hours 16 minutes,70.67,Fairly easy,,,No,Samuel Pepys,1666,John Hayls,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 21, 2019, 6:40 p.m.",Download
0000285,While the Billy Boils,Henry Lawson,1896,English,Shorts,"85,518",5 hours 11 minutes,78.18,Fairly easy,,,No,The Selector’s Hut (Whelan on the Log),1890,Arthur Streeton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 26, 2019, 8:28 p.m.",Download
0000286,Paradise Lost,John Milton,1667,English,"Fiction, Poetry, Spirituality","82,669",5 hours 1 minute,48.2,Difficult,,,No,Adam and Eve,1550,Titian,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 26, 2019, 9:08 p.m.",Download
0000287,Brood of the Witch-Queen,Sax Rohmer,1918,English,"Fiction, Horror","65,263",3 hours 58 minutes,73.27,Fairly easy,,,No,"The Great Pyramid, Giza",1830,Adrien Dauzats,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 10, 2019, 11:52 p.m.",Download
0000288,Poetry,William Carlos Williams,1913-21,English,Poetry,"18,294",1 hour 7 minutes,79.6,Easy,,,No,In the Woods,1855,Asher Brown Durand,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 11, 2019, 9:24 p.m.",Download
0000289,Mr. Standfast,John Buchan,1919,English,"Adventure, Fiction","131,073",7 hours 57 minutes,80.72,Easy,,,Yes,"The Jungfrau, Switzerland",1855,Alexandre Calame,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 18, 2019, 9:53 p.m.",Download
0000290,Jeeves Stories,P. G. Wodehouse,1915-27,English,"Comedy, Fiction, Shorts","174,223",10 hours 34 minutes,83.56,Easy,,,No,The Arrow Collars Man,1922,J. C. Leyendecker,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 19, 2019, 9:46 p.m.",Download
0000291,The Valley of Fear,Arthur Conan Doyle,1915,English,"Fiction, Mystery","58,703",3 hours 34 minutes,82.65,Easy,,,Yes,The Valley of Fear,1915,Frank Wiles,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 23, 2019, 4:47 p.m.",Download
0000292,Up from Slavery,Booker T. Washington,1901,English,"Autobiography, Memoir, Nonfiction","76,850",4 hours 40 minutes,63.22,Average difficulty,,,No,The Power of Music,1847,William Sidney Mount,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 26, 2019, 5:49 p.m.",Download
0000293,Ten Days That Shook the World,John Reed,1919,English,Nonfiction,"121,512",7 hours 22 minutes,53,Fairly difficult,,,No,Strike,1906,Boris Kustodiev,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 1, 2019, 11:17 p.m.",Download
0000294,Notre-Dame de Paris,Victor Hugo,1831,French,Fiction,"184,008",11 hours 10 minutes,69.82,Fairly easy,Isabel F. Hapgood,,No,Notre Dame Seen from the Quai de la Tournelle,1902,Jean-François Raffaëlli,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 1, 2019, 11:58 p.m.",Download
0000295,The Adventures of Tom Sawyer,Mark Twain,1876,English,Fiction,"72,980",4 hours 26 minutes,81.22,Easy,,,No,Boy Fishing,1860-69,Eastman Johnson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 20, 2019, 9:30 p.m.",Download
0000296,Sense and Sensibility,Jane Austen,1811,English,Fiction,"120,067",7 hours 17 minutes,66.17,Average difficulty,,,No,At the Mirror,1827,Georg Friedrich Kersting,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 20, 2019, 9:46 p.m.",Download
0000297,Short Fiction,Leonid Andreyev,1898-1916,Russian,"Fiction, Shorts","343,032",20 hours 48 minutes,71.14,Fairly easy,"Herman Bernstein, Alexandra Linden, L. A. Magnus, K. Walter, W. H. Lowe, The Russian Review, Archibald J. Wolfe, John Cournos, R. S. Townsend, Maurice Magnus",,No,Death in the Sickroom,1893,Edvard Munch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2019, 9:19 p.m.",Download
0000298,Gulliver’s Travels,Jonathan Swift,1726,English,"Fiction, Satire","104,324",6 hours 20 minutes,50.74,Fairly difficult,,,No,Gulliver and the Lilliputians,1870,Jehan-Georges Vibert,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 22, 2019, 2:32 p.m.",Download
0000299,The Lives of the Caesars,Suetonius,121,Latin,Nonfiction,"125,630",7 hours 37 minutes,48.17,Difficult,J. C. Rolfe,,No,The Triumph of Titus,1885,Lawrence Alma-Tadema,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 25, 2019, 9:06 p.m.",Download
0000300,The Golden Bowl,Henry James,1904,English,Fiction,"211,805",12 hours 51 minutes,66.67,Average difficulty,,,No,Portrait of Lisa Colt Curtis,1898,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 25, 2019, 10:11 p.m.",Download
0000301,The Dark Other,Stanley G. Weinbaum,1950,English,Horror,"52,333",3 hours 11 minutes,77.33,Fairly easy,,,No,The Demon Seated,1890,Mikhail Vrubel,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 26, 2019, 11:10 p.m.",Download
0000302,Practical Mysticism,Evelyn Underhill,1914,English,"Nonfiction, Spirituality","32,818",2 hours,48.27,Difficult,,,No,The Transfiguration,1518-20,Raphael,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 30, 2019, 8:22 p.m.",Download
0000303,The Hill of Dreams,Arthur Machen,1907,English,Fiction,"68,919",4 hours 11 minutes,60.79,Average difficulty,,,No,The Master Therion,1917,Leon Engers Kennedy,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 30, 2019, 9:30 p.m.",Download
0000304,Anne of Green Gables,L. M. Montgomery,1908,English,"Children’s, Fiction","106,480",6 hours 28 minutes,81.83,Easy,,,Yes,A Girl with Flowers on the Grass,1878,Jacob Maris,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 31, 2019, 9:00 p.m.",Download
0000305,Little Lord Fauntleroy,Frances Hodgson Burnett,1886,English,"Children’s, Fiction","59,535",3 hours 37 minutes,79.3,Easy,,,No,The Blue Boy,1770,Thomas Gainsborough,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 3, 2019, 3:23 a.m.",Download
0000306,The Red House Mystery,A. A. Milne,1922,English,Fiction,"62,216",3 hours 47 minutes,84.98,Easy,,,No,The Canal at ’s-Graveland,1818,Pieter Gerardus van Os,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 4, 2019, 11:36 p.m.",Download
0000307,Jane Eyre,Charlotte Brontë,1847,English,Fiction,"187,961",11 hours 24 minutes,68.81,Average difficulty,,,No,Portrait of a Young Girl,1903-04,Vilhelm Hammershøi,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 10, 2019, 7:43 p.m.",Download
0000308,The Sea-Wolf,Jack London,1904,English,"Adventure, Fiction","107,260",6 hours 31 minutes,80.82,Easy,,,No,At Sea,1870,Jules Dupré,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 15, 2019, 6:39 p.m.",Download
0000309,Short Fiction,Fyodor Sologub,1904-11,Russian,"Fiction, Shorts","98,258",5 hours 58 minutes,73.68,Fairly easy,"John Cournos, Stephen Graham, Rosa Savory Graham, P. Selver",,No,The Storm,1893,Edvard Munch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 17, 2019, 11:49 p.m.",Download
0000310,Star Born,Andre Norton,1957,English,Science Fiction,"62,431",3 hours 48 minutes,70.94,Fairly easy,,,Yes,Dinamismo Di Un Ciclista,1913,Umberto Boccioni,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 24, 2019, 8:35 p.m.",Download
0000311,Middlemarch,George Eliot,1871-72,English,Fiction,"321,438",19 hours 29 minutes,68.4,Average difficulty,,,No,"The Grove, Hampstead",1821-22,John Constable,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 25, 2019, 11:51 p.m.",Download
0000312,Black Beauty,Anna Sewell,1877,English,"Children’s, Fiction","60,325",3 hours 40 minutes,81.16,Easy,,,No,Adriaan van der Hoop’s Trotter “De Vlugge” (The Fast One) in a Meadow,1828,Anthony Oberman,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 27, 2019, 10:22 p.m.",Download
0000313,A Popular Schoolgirl,Angela Brazil,1920,English,Fiction,"66,028",4 hours 1 minute,72.16,Fairly easy,,,No,Luncheon of the Boating Party,1881,Pierre-Auguste Renoir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 28, 2019, 6:33 p.m.",Download
0000314,Beowulf,Anonymous,975-1010,Anglo-Saxon/Old English,Poetry,"26,420",1 hour 37 minutes,48.77,Difficult,John Lesslie Hall,,No,Scene from the Era of Norwegian Sagas,1850,Knud Baade,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 1, 2019, 10:30 p.m.",Download
0000315,Lady Audley’s Secret,M. E. Braddon,1862,English,"Fiction, Mystery","151,621",9 hours 12 minutes,67.89,Average difficulty,,,No,Woman at Her Toilette,1875-80,Berthe Morisot,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 5, 2019, 6:00 p.m.",Download
0000316,My First Summer in the Sierra,John Muir,1911,English,Nonfiction,"57,859",3 hours 31 minutes,62.51,Average difficulty,,,No,"Merced River, Yosemite Valley",1866,Albert Bierstadt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 6, 2019, 9:42 p.m.",Download
0000317,The Three Musketeers,Alexandre Dumas,1844,French,"Adventure, Fiction","232,610",14 hours 6 minutes,71.65,Fairly easy,William Robson,,Yes,The Night Watch,1642,Rembrandt van Rijn,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 9, 2019, 11:34 p.m.",Download
0000318,Antic Hay,Aldous Huxley,1923,English,Fiction,"90,112",5 hours 28 minutes,75.5,Fairly easy,,,No,"James Vibert, Sculptor",1907,Ferdinand Hodler,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 11, 2019, 12:02 a.m.",Download
0000319,Wired Love,Ella Cheever Thayer,1879,English,Fiction,"51,289",3 hours 7 minutes,71.04,Fairly easy,,,No,Dance in the Country,1883,Pierre-Auguste Renoir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 11, 2019, 9:53 p.m.",Download
0000320,The Way of All Flesh,Samuel Butler,1903,English,Fiction,"163,853",9 hours 56 minutes,60.69,Average difficulty,,,No,South View of Salisbury Cathedral from the Cloisters,1802,J. M. W. Turner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 11, 2019, 10:48 p.m.",Download
0000321,Short Fiction,Poul Anderson,1950-63,English,"Science Fiction, Shorts","294,483",17 hours 51 minutes,75.5,Fairly easy,,,No,Dances at the Spring,1912,Francis Picabia,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 23, 2019, 9:45 p.m.",Download
0000322,Great Expectations,Charles Dickens,1861,English,Fiction,"187,744",11 hours 23 minutes,77.06,Fairly easy,,,No,Self-Portrait,1812,Joseph Paelinck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 23, 2019, 10:06 p.m.",Download
0000323,Tono-Bungay,H. G. Wells,1909,English,Fiction,"137,261",8 hours 20 minutes,72.05,Fairly easy,,,No,Louis Pasteur,1905,Albert Edelfelt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"December 29, 2019, 11:29 p.m.",Download
0000324,The Phantom of the Opera,Gaston Leroux,1910,French,"Fiction, Mystery","83,071",5 hours 3 minutes,73.27,Fairly easy,Alexander Teixeira de Mattos,,No,Sisäkuva Suomalaisesta Oopperasta,1919,Magnus Enckell,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 29, 2020, 4:59 a.m.",Download
0000325,The Iliad,Homer,-800,Homeric Greek,Poetry,"156,880",9 hours 31 minutes,69.75,Fairly easy,William Cullen Bryant,,No,Oath of the Horatii,1786,"Anne-Louis Girodet Roussy-Trioson, Jacques-Louis David",League Spartan and Sorts Mill Goudy,The League of Moveable Type,"January 29, 2020, 11:16 p.m.",Download
0000326,The Odyssey,Homer,-800,Homeric Greek,Poetry,"120,123",7 hours 17 minutes,71.07,Fairly easy,William Cullen Bryant,,No,Ulysses and the Sirens,1891,John William Waterhouse,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 8, 2020, 1:55 a.m.",Download
0000327,Islands of Space,John W. Campbell,1931,English,Science Fiction,"62,947",3 hours 49 minutes,73.27,Fairly easy,,,Yes,Ruin by the Sea,1881,Arnold Böcklin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 8, 2020, 2:09 a.m.",Download
0000328,The Mill on the Floss,George Eliot,1860,English,Fiction,"212,170",12 hours 52 minutes,66.57,Average difficulty,,,No,Watermill at Gillingham,1827,John Constable,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 10, 2020, 10:30 p.m.",Download
0000329,The Tenant of Wildfell Hall,Anne Brontë,1848,English,Fiction,"168,941",10 hours 15 minutes,64.75,Average difficulty,,,No,Widow of a Painter,1870,Kate Bisschop-Swift,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 18, 2020, 4:42 a.m.",Download
0000330,Just William,Richmal Crompton,1922,English,"Children’s, Fiction","48,660",2 hours 57 minutes,77.13,Fairly easy,,,Yes,Whistling Boy,1872,Frank Duveneck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 20, 2020, 8:58 p.m.",Download
0000331,School Stories,P. G. Wodehouse,1900-10,English,"Comedy, Fiction, Shorts","75,227",4 hours 34 minutes,75.4,Fairly easy,,,No,Harrow School,1907,John Fulleylove,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 20, 2020, 9:37 p.m.",Download
0000332,Much Ado About Nothing,William Shakespeare,1600,English,Drama,"22,785",1 hour 23 minutes,81.53,Easy,,,No,Esther Before Ahasuerus,1635,Artemisia Gentileschi,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 24, 2020, 7:47 p.m.",Download
0000333,Plague Ship,Andre Norton,1956,English,Science Fiction,"61,515",3 hours 44 minutes,71.55,Fairly easy,,,Yes,Dynamism of an Automobile,1911,Luigi Russolo,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 26, 2020, 12:18 a.m.",Download
0000334,The Playboy of the Western World,J. M. Synge,1907,English,Drama,"21,391",1 hour 18 minutes,83.46,Easy,,,No,The Bell Inn,1780-89,George Morland,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"February 26, 2020, 5:15 p.m.",Download
0000335,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759-67,English,Fiction,"195,794",11 hours 52 minutes,51.55,Fairly difficult,,,No,Uncle Toby and Widow Wadman,1848,Charles Robert Leslie,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 1, 2020, 5:28 p.m.",Download
0000336,Oliver Twist,Charles Dickens,1837-39,English,Fiction,"160,254",9 hours 43 minutes,70.33,Fairly easy,,,No,His First Offence,1896,Dorothy Stanley,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 1, 2020, 5:50 p.m.",Download
0000337,Short Fiction,Herman Melville,1853-56,English,"Fiction, Shorts","133,960",8 hours 8 minutes,67.08,Average difficulty,,,No,A Rooster with Hens and Chicks,1855,Albertus Verhoesen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 9, 2020, 11:09 p.m.",Download
0000338,Poirot Investigates,Agatha Christie,1924,English,"Mystery, Shorts","53,442",3 hours 15 minutes,76.72,Fairly easy,,,Yes,The Letter,1910,Julian Alden Weir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 17, 2020, 6:31 p.m.",Download
0000339,Tusculan Disputations,Cicero,-45,Latin,Philosophy,"77,125",4 hours 41 minutes,59.26,Average difficulty,C. D. Yonge,,No,"Dispute Between Hotspur, Glendower, Mortimer and Worcester",1784,Henry Fuseli,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 23, 2020, 10:13 p.m.",Download
0000340,Short Fiction,O. Henry,1883-1910,English,"Fiction, Shorts","911,683",55 hours 16 minutes,72.97,Fairly easy,,,No,The Soul of the Soulless City,1920,Christopher R. W. Nevinson,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 23, 2020, 11:34 p.m.",Download
0000341,Eugene Onegin,Alexander Pushkin,1837,Russian,"Fiction, Poetry","34,386",2 hours 6 minutes,59.64,Average difficulty,Henry Spalding,,No,Two Men Contemplating the Moon,1825-30,Caspar David Friedrich,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 24, 2020, 11:16 p.m.",Download
0000342,The Forsyte Saga,John Galsworthy,1922,English,Fiction,"326,417",19 hours 47 minutes,72.56,Fairly easy,,,No,Return from the Ball,1879,Henri Gervex,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"March 25, 2020, 10:15 p.m.",Download
0000343,The Age of Innocence,Edith Wharton,1920,English,Fiction,"103,762",6 hours 18 minutes,68.6,Average difficulty,,,No,In the Loge,1878,Mary Cassatt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 1, 2020, 10:34 p.m.",Download
0000344,The Water of the Wondrous Isles,William Morris,1897,English,Fantasy,"147,818",8 hours 58 minutes,70.5,Fairly easy,,,No,The Island of Life,1888,Arnold Böcklin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 5, 2020, 1:07 a.m.",Download
0000345,Discourses,Epictetus,108,Greek,Philosophy,"121,597",7 hours 23 minutes,68.3,Average difficulty,George Long,,No,An Audience in Athens During Agamemnon by Aeschylus,1884,William Blake Richmond,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 7, 2020, 6:49 p.m.",Download
0000346,Shirley,Charlotte Brontë,1849,English,Fiction,"217,702",13 hours 12 minutes,72.97,Fairly easy,,,No,The Countess Blessington,1822,Thomas Lawrence,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 8, 2020, 5:35 p.m.",Download
0000347,The Night Land,William Hope Hodgson,1912,English,Science Fiction,"197,186",11 hours 58 minutes,64.51,Average difficulty,,,No,An Angel,1889,Fernand Khnopff,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 14, 2020, 9:13 p.m.",Download
0000348,A Week on the Concord and Merrimack Rivers,Henry David Thoreau,1849,English,Nonfiction,"116,009",7 hours 2 minutes,61.5,Average difficulty,,,No,"Landscape Near Granby, Connecticut",1870,Hendrik Dirk Kruseman van Elten,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 20, 2020, 7:29 p.m.",Download
0000349,Sinister Street,Compton Mackenzie,1913-14,English,Fiction,"351,709",21 hours 19 minutes,71.95,Fairly easy,,,No,Portrait of the Artist’s Son,1921,Boris Grigoriev,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 21, 2020, 12:48 a.m.",Download
0000350,Poetry,William Shakespeare,1593-1609,English,Poetry,"49,859",3 hours 2 minutes,63.06,Average difficulty,,,No,The Chandos Portrait of William Shakespeare,1610,John Taylor,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 24, 2020, 6:31 p.m.",Download
0000351,New Hampshire,Robert Frost,1923,English,Poetry,"19,852",1 hour 13 minutes,78.08,Fairly easy,,,No,"Twilight in the Cedars at Darien, Connecticut",1872,John Frederick Kensett,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"April 24, 2020, 8:28 p.m.",Download
0000352,The Lives and Opinions of Eminent Philosophers,Diogenes Laërtius,200-299,Greek,"Biography, Philosophy","179,498",10 hours 53 minutes,48.88,Difficult,C. D. Yonge,,No,Saint Jerome,1621,Hendrick ter Brugghen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 2, 2020, 6:23 p.m.",Download
0000353,The Pilgrim’s Progress,John Bunyan,1678-84,English,"Fiction, Spirituality","110,129",6 hours 41 minutes,74.32,Fairly easy,,,No,Crusaders Before Jerusalem,1860,Wilhelm von Kaulbach,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 7, 2020, 11:30 p.m.",Download
0000354,The Beetle,Richard Marsh,1897,English,Horror,"114,418",6 hours 57 minutes,81.53,Easy,,,No,Beetle,1700,Jan Augustin van der Goes,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 13, 2020, 10:50 p.m.",Download
0000355,The Scarlet Letter,Nathaniel Hawthorne,1850,English,Fiction,"84,436",5 hours 8 minutes,56.08,Fairly difficult,,,No,The Scarlet Letter,1861,Hugues Merle,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 15, 2020, 12:52 a.m.",Download
0000356,The Cream of the Jest,James Branch Cabell,1917,English,Fiction,"45,491",2 hours 46 minutes,58.01,Fairly difficult,,,Yes,A Bedroom in Bernstorff Palace Near Copenhagen,1845,Johan Vilhelm Gertner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 15, 2020, 10:35 p.m.",Download
0000357,The Mayor of Casterbridge,Thomas Hardy,1886,English,Fiction,"118,121",7 hours 10 minutes,70.02,Fairly easy,,,No,Portrait of Luman Reed,1835,Asher Brown Durand,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 20, 2020, 3:19 a.m.",Download
0000358,The Warlord of Mars,Edgar Rice Burroughs,1919,English,Fantasy,"57,440",3 hours 29 minutes,61.29,Average difficulty,,,Yes,Let a World’s Most Beautiful Woman Share the Honor of Her Husband,1919,J. Allen St. John,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 21, 2020, 10:47 p.m.",Download
